GEO_ID,NAME,AREALAND,AREAWATR,AREALAND_SQMI,AREAWATR_SQMI,INTPTLAT,INTPTLON
1400000US13035150300,Census Tract 1503; Butts County; Georgia,153274397,2487778,59.18,0.961,33.2592725,-84.0482745
1400000US13037950100,Census Tract 9501; Calhoun County; Georgia,480739622,7127620,185.615,2.752,31.5256326,-84.5590576
1400000US13037950200,Census Tract 9502; Calhoun County; Georgia,245451880,1143850,94.77,0.442,31.5233783,-84.7476835
1400000US13039010100,Census Tract 101; Camden County; Georgia,676341651,50356525,261.137,19.443,31.0360668,-81.7224784
1400000US13039010201,Census Tract 102.01; Camden County; Georgia,94678376,2940638,36.556,1.135,30.9337796,-81.7370758
1400000US13039010202,Census Tract 102.02; Camden County; Georgia,255921642,42730530,98.812,16.498,30.9134869,-81.572819
1400000US13039010302,Census Tract 103.02; Camden County; Georgia,235060541,1920548,90.757,0.742,30.8460969,-81.7909115
1400000US13039010303,Census Tract 103.03; Camden County; Georgia,7722557,115725,2.982,0.045,30.7820128,-81.668909
1400000US13039010304,Census Tract 103.04; Camden County; Georgia,28739725,1648566,11.096,0.637,30.7630719,-81.7176616
1400000US13039010305,Census Tract 103.05; Camden County; Georgia,36061239,755445,13.923,0.292,30.7875584,-81.7600616
1400000US13039010403,Census Tract 104.03; Camden County; Georgia,32783753,3212848,12.658,1.24,30.7494891,-81.6235271
1400000US13039010404,Census Tract 104.04; Camden County; Georgia,16013349,232892,6.183,0.09,30.8017847,-81.6449963
1400000US13039010405,Census Tract 104.05; Camden County; Georgia,13533509,205403,5.225,0.079,30.7738179,-81.5976086
1400000US13039010406,Census Tract 104.06; Camden County; Georgia,24982272,4212103,9.646,1.626,30.8289405,-81.6179703
1400000US13039010407,Census Tract 104.07; Camden County; Georgia,12577492,204509,4.856,0.079,30.8054918,-81.594787
1400000US13039010500,Census Tract 105; Camden County; Georgia,60818534,16097332,23.482,6.215,30.8023621,-81.5278537
1400000US13039010602,Census Tract 106.02; Camden County; Georgia,115612641,57427751,44.638,22.173,30.8432127,-81.4561463
1400000US13039010603,Census Tract 106.03; Camden County; Georgia,10832372,2435776,4.182,0.94,30.731293,-81.5558142
1400000US13039010604,Census Tract 106.04; Camden County; Georgia,10717976,1072114,4.138,0.414,30.751785,-81.5598166
1400000US13039990000,Census Tract 9900; Camden County; Georgia,0,207164929,0,79.987,30.8508364,-81.3878489
1400000US13043950100,Census Tract 9501; Candler County; Georgia,223198437,5525796,86.177,2.134,32.476669,-82.0804938
1400000US13043950200,Census Tract 9502; Candler County; Georgia,241166892,5383589,93.115,2.079,32.3532656,-82.1254242
1400000US13043950300,Census Tract 9503; Candler County; Georgia,165155513,4108804,63.767,1.586,32.3767922,-81.985587
