station,date,lon,lat,tmpf,relh,sped,p01i,vsby,weather_class
nyc,2019-01-03,-73.9693,40.779,42.0,54.78,0.0,0.0,10.0,bad
jrb,2019-01-03,-74.009,40.7012,44.0,62.21,8.05,0.0,10.0,bad
nyc,2019-01-03,-73.9693,40.779,43.0,46.91,0.0,0.0,10.0,bad
jrb,2019-01-03,-74.009,40.7012,45.0,53.0,3.45,0.0,10.0,bad
nyc,2019-01-03,-73.9693,40.779,43.0,42.77,0.0,0.0,8.0,bad
jrb,2019-01-03,-74.009,40.7012,46.0,45.47,3.45,0.0,10.0,bad
nyc,2019-01-03,-73.9693,40.779,42.0,46.37,0.0,0.0,10.0,bad
jrb,2019-01-03,-74.009,40.7012,45.0,49.02,8.05,0.0,10.0,bad
nyc,2019-01-03,-73.9693,40.779,41.0,50.67,0.0,0.0,10.0,bad
jrb,2019-01-03,-74.009,40.7012,43.0,52.91,3.45,0.0,10.0,bad
nyc,2019-01-03,-73.9693,40.779,39.0,49.93,0.0,0.0,10.0,bad
jrb,2019-01-03,-74.009,40.7012,42.0,54.78,5.75,0.0,10.0,bad
jrb,2019-01-03,-74.009,40.7012,41.0,57.15,4.6,0.0,10.0,bad
jrb,2019-01-03,-74.009,40.7012,40.0,57.47,5.75,0.0,10.0,bad
